Date,SIP,App
2020-01-19,,-21
2020-01-23,1,
2020-01-26,2,20
2020-02-02,,-6
2020-02-02,,-3
2020-02-08,3,
2020-02-16,,-17
2020-02-23,5,-38
2020-02-25,6,
2020-03-03,7,
2020-03-06,8,
2020-03-08,10,
2020-03-09,13,
2020-03-10,14,
2020-03-12,18,
2020-03-13,26,
2020-03-14,29,
2020-03-15,35,
2020-03-16,42,11
2020-03-17,50,
2020-03-18,58,
2020-03-19,64,
2020-03-20,68,
2020-03-21,73,
2020-03-22,78,
2020-03-23,93,49
2020-03-24,100,
2020-03-25,104,
2020-03-26,107,
2020-03-27,113,
2020-03-28,117,
2020-03-29,118,
2020-03-30,124,94
2020-03-31,126,
2020-04-01,129,
2020-04-02,131,
2020-04-03,132,
2020-04-04,133,
2020-04-05,134,205
2020-04-08,136,
2020-04-09,137,
2020-04-10,140,
2020-04-11,141,
2020-04-13,,75
2020-04-14,142,
2020-04-17,143,
2020-04-18,145,
2020-04-20,,147
2020-04-27,147,167
2020-05-01,148,-3
2020-05-04,149,
2020-05-18,,136
2020-05-25,,76
2020-06-04,,356
2020-09-02,,9
2020-09-03,,31
2020-11-05,,77
2020-12-01,,5
